,GDP Deflator: YoY: Quarterly: China
Region,China
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,%
Source,CEIC Data
Status,Active
Series ID,249102401 (CAAORU)
SR Code,SR4104272
Mnemonic,CN.GDPDEF.RT.YOY-Q
Function Description,
First Obs. Date,1993/03/01
Last Obs. Date,2020/12/01
Last Update Time,12/03/2021
Series remarks,"1. CEIC calculates GDP Deflator Growth from quarterly Nominal and Real GDP.
2. The National Bureau of Statistics provides Nominal GDP in local currency and Real GDP Index, at previous year prices."
Suggestions,
Mean,4.4659455092857145
Variance,26.4960817225387
Standard Deviation,5.14743447967419
Skewness,1.55050404163038
Kurtosis,2.2443071601895888
Coefficient Variation,1.1525967947820914
Min,-1.62075859
Max,21.25492991
Median,2.8032225950000003
No. of Obs,112
1993/03/01,12.63333122
1993/06/01,13.55112494
1993/09/01,15.58072306
1993/12/01,17.80715859
1994/03/01,20.2201214
1994/06/01,21.25492991
1994/09/01,21.22080162
1994/12/01,20.00518858
1995/03/01,15.45137501
1995/06/01,14.66575015
1995/09/01,13.781434
1995/12/01,11.66271662
1996/03/01,8.90512064
1996/06/01,7.26229309
1996/09/01,5.40814761
1996/12/01,5.30976676
1997/03/01,3.6240701
1997/06/01,1.59763549
1997/09/01,1.45997564
1997/12/01,0.36915332
1998/03/01,0.79126878
1998/06/01,-0.9239941
1998/09/01,-1.46774045
1998/12/01,-1.62075859
1999/03/01,-1.49357864
1999/06/01,-1.5174928
1999/09/01,-1.6207288
1999/12/01,-0.63605558
2000/03/01,1.34709451
2000/06/01,2.18032909
2000/09/01,2.5253111
2000/12/01,2.156919
2001/03/01,3.12618591
2001/06/01,2.35710804
2001/09/01,2.02988821
2001/12/01,1.06116968
2002/03/01,0.24746542
2002/06/01,0.39981098
2002/09/01,0.65694538
2002/12/01,1.06138455
2003/03/01,2.09406565
2003/06/01,2.15303085
2003/09/01,2.64336796
2003/12/01,3.37941313
2004/03/01,4.72185061
2004/06/01,6.57963691
2004/09/01,8.01149225
2004/12/01,8.0268839
2005/03/01,5.40463968
2005/06/01,4.17826448
2005/09/01,3.60614068
2005/12/01,2.83477611
2006/03/01,3.44745944
2006/06/01,3.42343157
2006/09/01,3.99758823
2006/12/01,4.67900339
2007/03/01,6.68867771
2007/06/01,6.94569371
2007/09/01,8.42728983
2007/12/01,8.56147622
2008/03/01,8.85100996
2008/06/01,9.56130069
2008/09/01,8.38175446
2008/12/01,5.27482277
2009/03/01,0.22447056
2009/06/01,-1.52698446
2009/09/01,-1.48460271
2009/12/01,1.58342851
2010/03/01,5.41733135
2010/06/01,6.91332869
2010/09/01,7.31398563
2010/12/01,7.67036675
2011/03/01,8.34155862
2011/06/01,8.79719229
2011/09/01,9.17660346
2011/12/01,6.32197176
2012/03/01,3.91885346
2012/06/01,2.5535284
2012/09/01,1.49589835
2012/12/01,1.75674705
2013/03/01,2.22757262
2013/06/01,1.56936303
2013/09/01,2.16379208
2013/12/01,2.61200347
2014/03/01,1.1508331
2014/06/01,1.3363593
2014/09/01,1.41066738
2014/12/01,0.4495187
2015/03/01,0.25482232
2015/06/01,0.56636554
2015/09/01,-0.26595846
2015/12/01,-0.37929177
2016/03/01,0.52212887
2016/06/01,0.77613022
2016/09/01,1.27480145
2016/12/01,2.77166908
2017/03/01,4.65477069
2017/06/01,4.04083064
2017/09/01,4.21119704
2017/12/01,4.19375309
2018/03/01,3.91897082
2018/06/01,3.74149855
2018/09/01,3.27163258
2018/12/01,3.22155067
2019/03/01,1.11953189
2019/06/01,1.7281673
2019/09/01,1.10266813
2019/12/01,1.08764363
2020/03/01,1.64334503
2020/06/01,-0.0985365
2020/09/01,0.61847213
2020/12/01,0.51152708